original vehicle types,revised vehicle types
0,Unspecified
1,Unspecified
11111,Unspecified
11 VA,Van
12 PA,Van
15 PA,Van
18 WH,Truck
18 WHEELER,Truck
197209,Unspecified
1C,Unspecified
1S,Unspecified
2000,Unspecified
2015,Unspecified
250 3,Unspecified
26 FT,Unspecified
2 DOO,Passenger Car
2 DR,Passenger Car
2 DR SEDAN,Passenger Car
2 TO,Unspecified
2 TON,Unspecified
2 WHE,Unspecified
315 E,Unspecified
35 FT,Unspecified
3DC ,Unspecified
3 DOO,Unspecified
3 DOOR,Unspecified
3DOOR,Unspecified
3 WHE,Wheeler
4 AXE,Unspecified
4D,Passenger Car
4DOOR,Passenger Car
4DR,Passenger Car
4 DR SEDAN,Passenger Car
4DS,Passenger Car
4DSD,Passenger Car
4 RUN,Passenger Car
4SEDN,Passenger Car
4WHEE,Wheeler
5,Unspecified
50CC SCOOT,Scooter
5X8 T,Unspecified
7532433,Unspecified
985,Unspecified
994,Unspecified
9999,Unspecified
99999,Unspecified
A,Unspecified
ABULA,Ambulance
ABULANCE,Ambulance
ACCES,Unspecified
AERIA,Unspecified
ALMBULANCE,Ambulance
AMABU,Ambulance
AMB,Ambulance
AMBU,Ambulance
AMBUKANCE,Ambulance
AMBUL,Ambulance
AMBULACE,Ambulance
AMBULANCE,Ambulance
AMBULANE,Ambulance
AMBULENCE,Ambulance
AMBULETTE,Ambulette
AMDU,Unspecified
AMUBULANCE,Ambulance
AMULANCE,Ambulance
A ONE,Unspecified
APORT,Unspecified
APP,Unspecified
APPOR,Unspecified
ARMOR,Armored Vehicle
ARMORED TRUCK,Armored Vehicle
ARMY,Armored Vehicle
ATTAC,Unspecified
ATV P,Unspecified
BACK,Construction Vehicle
BACKH,Construction Vehicle
BACKHOE,Construction Vehicle
BACK HOE,Construction Vehicle
BACKHOE LO,Construction Vehicle
BARRI,Passenger Car
BED T,Truck
BEVERAGE TRUCK,Truck
BICYC,Bike
BICYCLE,Bike
BIKE,Bike
BK,Bike
BKHOE,Construction Vehicle
BLACK,Unspecified
BLOCK,Unspecified
BOAT,Construction Vehicle
BOBCA,Construction Vehicle
BOBCAT,Construction Vehicle
BOBCAT FOR,Construction Vehicle
BOBCT,Construction Vehicle
BOOM,Construction Vehicle
BOX,Truck
BOX H,Truck
BOX T,Truck
BOXTR,Truck
BOX TRUCK,Truck
BROOM,Construction Vehicle
BS,Unspecified
BSD,Unspecified
BTM,Unspecified
BUCKE,Construction Vehicle
BUCKETLOAD,Construction Vehicle
BUCKET TRU,Construction Vehicle
BUDGE,Truck
BULK AGRICULTURE,Truck
